Title,Directed by,Produced by,Starring,Lead,Cinematography,Production companies,Distributed by,Release_date_dt,Release_month,Running_time_min,Country,Language,Budget,Box_office,Box_office_opening,Rating
Below,David Twohy,"['Darren Aronofsky', 'Sue Baden-Powell', 'Eric Watson']","['Bruce Greenwood', 'Matthew Davis', 'Olivia Williams', 'Holt McCallany', 'Scott Foley', 'Zach Galifianakis', 'Jason Flemyng', 'Dexter Fletcher']",Bruce Greenwood,Ian Wilson,"['Dimension Films', 'Protozoa Pictures']",Miramax Films,2002-10-11,10.0,105.0,United States,English,40000000.0,605562.0,,Unknown
Better Luck Tomorrow,Justin Lin,"['Justin Lin', 'Julie Asato', 'Ernesto Foronda']","['Parry Shen', 'Jason Tobin', 'Sung Kang', 'Roger Fan', 'John Cho', 'Karin Anna Cheung']",Parry Shen,Patrice Lucien Cochet,['MTV Films'],Paramount Pictures,2002-01-12,1.0,101.0,United States,English,,3800000.0,360772.0,R
Big Fat Liar,Shawn Levy,"['Brian Robbins', 'Mike Tollin']","['Frankie Muniz', 'Paul Giamatti', 'Amanda Bynes', 'Amanda Detmer', 'Donald Faison', 'Lee Majors', 'Russell Hornsby', 'Kenan Thompson']",Frankie Muniz,Jonathan Brown,['Tollin/Robbins Productions'],Universal Pictures,2002-02-08,2.0,88.0,United States,English,15000000.0,53000000.0,11554015.0,PG
Big Trouble,Barry Sonnenfeld,"['Barry Sonnenfeld', 'Barry Josephson', 'Tom Jacobson']","['Tim Allen', 'Omar Epps', 'Dennis Farina', 'Ben Foster', 'Janeane Garofalo', 'Jason Lee', 'Rene Russo', 'Tom Sizemore', 'Stanley Tucci']",Tim Allen,Greg Gardiner,"['Touchstone Pictures', 'The Jacobson Company', 'Sonnenfeld/Josephson Worldwide Entertainment']",Buena Vista Pictures,2002-04-05,4.0,85.0,United States,English,40000000.0,8500000.0,3545204.0,PG-13
Biggie & Tupac,Nick Broomfield,"['Nick Broomfield', ""Michele D'Acosta""]","['Biggie Smalls', '(archive footage)', 'Tupac Shakur', '(archive footage)', 'Nick Broomfield', 'Russell Poole', 'Voletta Wallace', 'Billy Garland', 'David Hicken', 'Suge Knight']",Biggie Smalls,Joan Churchill,,"['Roxie Releasing', 'Lions Gate Entertainment']",2002-01-11,1.0,108.0,,English,,,5728.0,R
Birthday Girl,Jez Butterworth,"['Steve Butterworth', 'Diana Phillips']","['Nicole Kidman', 'Ben Chaplin']",Nicole Kidman,Oliver Stapleton,"['HAL Films', 'FilmFour Productions']","['Miramax Films (United States)', 'FilmFour Distributors (United Kingdom)']",2001-09-06,9.0,93.0,,,13000000.0,16200000.0,2370809.0,R
Blade II,Guillermo del Toro,"['Peter Frankfurt', 'Wesley Snipes', 'Patrick Palmer']","['Wesley Snipes', 'Kris Kristofferson', 'Ron Perlman', 'Leonor Varela', 'Norman Reedus', 'Luke Goss']",Wesley Snipes,Gabriel Beristain,"['Marvel Enterprises', 'Amen Ra Films', 'Imaginary Forces']",New Line Cinema,2002-03-22,3.0,117.0,United States,English,54000000.0,155000000.0,32528016.0,R
Blade,Stephen Norrington,"['Peter Frankfurt', 'Wesley Snipes', 'Robert Engelman']","['Wesley Snipes', 'Stephen Dorff', 'Kris Kristofferson', ""N'Bushe Wright"", 'Donal Logue']",Wesley Snipes,Theo van de Sande,"['Marvel Enterprises', 'Amen Ra Films', 'Imaginary Forces']",New Line Cinema,1998-08-21,8.0,120.0,United States,English,45000000.0,131199999.99999999,17073856.0,R
Blood Work,Clint Eastwood,Clint Eastwood,"['Clint Eastwood', 'Jeff Daniels', 'Wanda De Jesús', 'Tina Lifford', 'Paul Rodriguez', 'Dylan Walsh', 'Anjelica Huston']",Clint Eastwood,Tom Stern,['Malpaso Productions'],Warner Bros. Pictures,2002-08-09,8.0,110.0,United States,English,50000000.0,31800000.0,7312413.0,R
Blue Crush,John Stockwell,Brian Grazer,"['Kate Bosworth', 'Michelle Rodriguez', 'Matthew Davis', 'Sanoe Lake', 'Mika Boorem']",Kate Bosworth,David Hennings,['Imagine Entertainment'],Universal Pictures,2002-08-16,8.0,104.0,,English,25000000.0,55000000.0,14169455.0,PG-13
Book of Love,Jeffrey W. Byrd,"['Nedal Abdul', 'Tracey Baker-Simmons', 'Jeffrey W. Byrd', 'Carl Craig', 'Eric K. George', 'Luce Gordon', 'Nia Hill', ""D'Angela Steed"", 'J. Steed']","['Eric K. George', 'Anthony ""Treach"" Criss', 'Richard T. Jones', 'Robin Givens', 'Salli Richardson']",Eric K. George,Carl Bartels,,"['Artisan Entertainment', 'Crossroads Pictures']",,,91.0,United States,English,,,,PG-13
The Bourne Identity,Doug Liman,"['Doug Liman', 'Patrick Crowley', 'Richard N. Gladstein']","['Matt Damon', 'Franka Potente', 'Chris Cooper', 'Clive Owen', 'Brian Cox', 'Adewale Akinnuoye-Agbaje']",Matt Damon,Oliver Wood,"['Hypnotic', 'Kennedy/Marshall']",Universal Pictures,2002-06-14,6.0,119.0,,English,60000000.0,214000000.0,27118640.0,PG-13
Bowling for Columbine,Michael Moore,"['Michael Moore', 'Kathleen Glynn', 'Jim Czarnecki', 'Charles Bishop', 'Michael Donovan', 'Kurt Engfehr']",,,,"['United Artists', 'Alliance Atlantis', 'Salter Street Films', 'Dog Eat Dog Films']",MGM Distribution Co.,2002-05-16,5.0,120.0,United States,English,4000000.0,58000000.0,209148.0,R
Brown Sugar,Rick Famuyiwa,"['Magic Johnson', 'Peter Heller']","['Taye Diggs', 'Sanaa Lathan', 'Mos Def', 'Nicole Ari Parker', 'Boris Kodjoe', 'Queen Latifah']",Taye Diggs,Enrique Chediak,,Fox Searchlight Pictures,2002-10-11,10.0,109.0,,English,8000000.0,,10738882.0,PG-13
Bubba Ho-tep,Don Coscarelli,"['Don Coscarelli', 'Jason R. Savage']","['Bruce Campbell', 'Ossie Davis', 'Ella Joyce', 'Heidi Marnhout', 'Bob Ivy']",Bruce Campbell,Adam Janeiro,['Silver Sphere Corporation'],Vitagraph Films,2002-06-09,6.0,92.0,United States,English,1000000.0,1200000.0,35636.0,R
The Burial Society,,"['Richard Baumgartel', 'J. Todd Harris', 'Raymond Massey']","['Rob LaBelle', 'Jan Rubeš', 'Allan Rich', 'Bill Meilen', 'David Paymer', 'Seymour Cassel']",Rob LaBelle,Danny Nowak,,Regent Releasing,2002-10-07,10.0,94.0,,English,,,7737.0,R
Buying the Cow,Walt Becker,"['Bradley Jenkel', 'Dan Etheridge']","[""Jerry O'Connell"", 'Bridgette Wilson', 'Alyssa Milano', 'Ryan Reynolds', 'Annabeth Gish']",Jerry O'Connell,Nancy Schreiber,,Destination Films,,,88.0,United States,English,,,,Unknown
Cabin Fever,Eli Roth,"['Lauren Moews', 'Sam Froelich', 'Evan Astrowsky', 'Eli Roth']","['Rider Strong', 'Jordan Ladd', 'James DeBello', 'Cerina Vincent', 'Joey Kern', 'Arie Verveen', 'Giuseppe Andrews']",Rider Strong,Scott Kevan,"['Deer Path Films', 'Down Home Entertainment', 'Tonic Films']","['Lions Gate Films', 'Black Sky Entertainment']",2002-09-14,9.0,94.0,United States,English,1500000.0,30600000.0,,R
Carrie,David Carson,,"['Angela Bettis', 'Patricia Clarkson', 'Rena Sofer', 'Kandyse McClure', 'Emilie de Ravin']",Angela Bettis,Victor Goss,"['Trilogy Entertainment Group', 'MGM Television']",,,,132.0,,,,,,Unknown
Catch Me If You Can,Steven Spielberg,"['Steven Spielberg', 'Walter F. Parkes']","['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen', 'Nathalie Baye']",Leonardo DiCaprio,Janusz Kamiński,"['Amblin Entertainment', 'Parkes/MacDonald Productions', 'Kemp Company', 'Splendid Pictures']",DreamWorks Pictures,2002-12-18,12.0,141.0,United States,English,52000000.0,352100000.0,30053627.0,PG-13
Chance,,"['Amber Benson', 'Danielle Benson', 'Diane Benson', 'Kelly Wheeler', 'Rupert Cole']","['Amber Benson', 'James Marsters', 'Christine Estabrook', 'Andy Hallett']",Amber Benson,Patrice Lucien Cochet,,Benson Entertainment Inc.,2002-09-22,9.0,75.0,United States,English,,,33405.0,PG-13
Changing Lanes,Roger Michell,Scott Rudin,"['Ben Affleck', 'Samuel L. Jackson', 'Toni Collette', 'Sydney Pollack', 'William Hurt', 'Amanda Peet']",Ben Affleck,Salvatore Totino,,Paramount Pictures,2002-04-12,4.0,99.0,United States,English,45000000.0,94900000.0,17128062.0,R
Chat Room,Barry Bowles,"['Anita M. Cal', 'Barry Bowles', 'Brian Hooks', 'Lisa Diane Washington', 'Peter Zumo']","['Brian Hooks', 'Christopher Richards', 'Deya Simone', 'Darryl Brunson', 'Troy Winbush']",Brian Hooks,Jonathon Millman,['Inverness Media'],"['Artisan Entertainment', 'Megastar Pictures']",2002-07-02,7.0,89.0,United States,English,,,,R
Chelsea Walls,Ethan Hawke,"['Alexis Alexanian', 'Pamela Koffler', 'Christine Vachon', 'Gary Winick']","['Kris Kristofferson', 'Uma Thurman', 'Robert Sean Leonard', 'Tuesday Weld', 'Kevin Corrigan', 'Bianca Hunter', ""Vincent D'Onofrio"", 'Natasha Richardson', 'Rosario Dawson']",Kris Kristofferson,Tom Richmond,"['Killer Films', 'IFC Films']",Lionsgate,2001-09-21,9.0,109.0,United States,English,,,10003.0,R
Chicago,Rob Marshall,Martin Richards,"['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere', 'Queen Latifah', 'John C. Reilly', 'Lucy Liu', 'Taye Diggs', 'Colm Feore', 'Dominic West']",Renée Zellweger,Dion Beebe,"['Producer Circle Co.', 'Zadan/Meron Production']",Miramax Films,2002-12-27,12.0,113.0,United States,English,45000000.0,306800000.0,2074929.0,PG-13
